text	class
горе	352
добропорядочность	348
неверие	358
боль	401
рассердиться	342
смириться	378
голодный	374
несчастье	331
расслабиться	315
жалость	343
радость	337
разгневанный	375
гордость	416
гнев	310
страдать	338
возбужденный	363
влюбленный	353
презирать	368
беспокойство	369
ревнивый	376
рыдать	354
любить	364
вдохновение	360
любопытный	139
самообман	361
расстройство	370
позор	350
одержимый	359
благополучие	399
покраснеть	373
беспокойный	384
самомнение	380
разочарованный	404
благодарность	333
доставлять удовольствие	346
горький	367
слабость	372
обнимать	366
любовь	400
наслаждайся	362
стыдно	407
мотивация	385
изможденный	347
суматоха	388
любовный	349
вина	408
внутреннее	417
горюющий	393
обманчивость	379
забота	351
надоело	371
неуважение	390
одновременность	418
весёлый	409
терпение	365
так себе	406
домогаться	403
страсть	410
сомневаться	391
обеспокоенный	414
страдание	398
дрожать	405
застенчивый	125
довольство	396
жаждущий	381
возбуждать	382
благоговение	387
радостный	411
одинокий	395
сожаление	413
горевать	389
объятие	412
нравственность	392
восхищение	419
надежда	394
спокойный	309
жуткий	307
жалость	343
разрыдаться	279
озабоченный	275
благоговение	387
рвеность	415
беспокоиться	297
довольство	396
одержимый	359
ревнивый	376
активный	231
горевать	389
вина	408
безумно	344
добропорядочность	348
гордость	416
застенчивый	125
забота	351
возбуждать	382
отчаянный	321
страдать	338
домогаться	403
жаждущий	381
вскружить	290
слабость	372
одинокий	395
расстройство	370
сожалеть	313
любовный	349
смириться	378
пренебрежение	386
слабый	271
благополучие	399
доставлять удовольствие	346
зависть	269
импульс	293
надеяться	383
агрессия	397
предпочитать	328
не выносить	308
терпение	365
горький	367
гнев	310
обеспокоенный	414
испуг	327
страх	276
ожидать	268
расслабление	306
самоанализ	291
восхищаться	302
изношенный	335
благодарность	333
самовосприятие	296
возрадоваться	298
нравиться	303
радость	337
презрение	294
дистресс	329
ошеломить	262
разъяренный	295
страдание	398
счастливый	326
нравственность	392
вдохновлять	340
самомнение	380
быть потрясенным	285
стыдно	407
раздражать	377
доброта	320
самоконтроль	356
скорбеть	287
злой	304
самоосознание	317
боль	401
страшный	323
довольный	332
напряжение	264
обманчивость	379
преданный	265
жадность	193
жалость	343
наслаждайся	362
одновременность	418
доверять	286
неуважение	390
отношение	272
счастье	336
радостный	411
отчаяться	273
самопроверка	284
рыдать	354
любовь	400
подавленный	261
печаль	274
мурашки	266
интересный	316
пренебрежение	386
нравственность	392
домогаться	403
скорбеть	287
спокойный	309
беспокойство	369
рвеность	415
благоговение	387
горький	367
ревнивый	376
надеяться	383
гордость	416
добропорядочность	348
озабоченный	275
довольство	396
обеспокоенный	414
беспокоиться	297
одержимый	359
расстроенный	305
слабость	372
любить	364
импульс	293
голод	334
возбуждать	382
возбужденный	363
покраснеть	373
страсть	410
влюбленный	353
неудобство	283
позор	350
непреклонный	341
расслабиться	315
желать	289
рассердиться	342
голодный	374
дрожать	405
обнимать	366
вдохновение	360
доставлять удовольствие	346
желание	292
активный	231
весенняя	318
застенчивый	125
вдохновлять	340
объятие	412
вскружить	290
покаяние	324
любовный	349
гнев	310
отчаянный	321
разрыдаться	279
надоело	371
одинокий	395
жаждущий	381
ошарашенный	357
агрессия	397
благодарность	333
так себе	406
безумно	344
презирать	368
горевать	389
разгневанный	375
смириться	378
самообман	361
сомневаться	391
вздрагивать	355
нервный	263
терпение	365
зависть	269
внутреннее	417
испуг	327
мотивировать	339
предпочитать	328
радость	337
весёлый	409
страх	276
любопытный	139
изношенный	335
сарказм	311
доверять	286
расстройство	370
испытывать	325
ожидать	268
желать	289
сомнение	322
самовосприятие	296
вина	408
облегчение	267
ненавидеть	319
подозревать	299
беспокойный	384
горе	352
разочарованный	404
сожаление	413
восхищение	419
неверие	358
жажда	270
возбуждение	330
отважиться	312
интересный	316
сожалеть	313
радостный	411
самоконтроль	356
разъяренный	295
восхищаться	302
раздражать	377
возрадоваться	298
не выносить	308
стыдно	407
страшный	323
страдание	398
мурашки	266
слабый	271
одновременность	418
доброта	320
презрение	294
быть потрясенным	285
злой	304
преданный	265
расслабление	306
так себе	406
наслаждайся	362
позор	350
боль	401
неудобство	283
самоосознание	317
ошеломить	262
самопроверка	284
жадность	193
рыдать	354
благополучие	399
довольный	332
изможденный	347
забота	351
любовь	400
непреклонный	341
сомнение	322
неуважение	390
печаль	274
страдать	338
влюбленный	353
отношение	272
напряжение	264
весенняя	318
дистресс	329
любить	364
беспокойство	369
надоело	371
обнимать	366
возбужденный	363
счастье	336
сочувствие	282
ошарашенный	357
рассердиться	342
страсть	410
объятие	412
нервный	263
внутреннее	417
разгневанный	375
отчаяться	273
смущенный	288
самообман	361
дрожать	405
безразличие	345
покраснеть	373
сожаление	413
весёлый	409
злость	280
мотивировать	339
расслабиться	315
подозревать	299
надежда	394
влюбиться	301
горюющий	393
испытывать	325
неверие	358
ненавидеть	319
желание	292
испуганный	277
сарказм	311
несчастье	331
облегчение	267
отважиться	312
терпеть	300
напуганный	278
сомневаться	391
вздрагивать	355
жажда	270
покаяние	324
беспокойный	384
презирать	368
разочарованный	404
горе	352
возбуждение	330
мотивация	385
суматоха	388
ленность	314
скучающий	402
грустный	260
надежда	394
испуганный	277
несчастье	331
терпеть	300
голод	334
надеяться	383
озабоченный	275
импульс	293
безумно	344
одержимый	359
вина	408
рвеность	415
пренебрежение	386
активный	231
гордость	416
горький	367
забота	351
разрыдаться	279
отчаянный	321
расстроенный	305
жуткий	307
добропорядочность	348
горевать	389
доставлять удовольствие	346
возбуждать	382
вдохновлять	340
сожалеть	313
слабый	271
страдать	338
жалость	343
вскружить	290
обеспокоенный	414
страх	276
изношенный	335
нравственность	392
одинокий	395
не выносить	308
смириться	378
скорбеть	287
ревнивый	376
раздражать	377
агрессия	397
нравиться	303
жаждущий	381
зависть	269
предпочитать	328
дистресс	329
благодарность	333
гнев	310
доверять	286
расслабление	306
восхищаться	302
самовосприятие	296
радость	337
стыдно	407
сожаление	413
любовный	349
ожидать	268
презрение	294
испуг	327
самоконтроль	356
ошеломить	262
благополучие	399
терпение	365
самоанализ	291
подавленный	261
злой	304
так себе	406
возрадоваться	298
самомнение	380
мурашки	266
страшный	323
радостный	411
наслаждайся	362
страдание	398
желать	289
преданный	265
позор	350
счастье	336
изможденный	347
смущенный	288
сочувствие	282
отвращение	281
безразличие	345
злость	280
скучающий	402
мотивация	385
суматоха	388
ленность	314
напуганный	278
самопроверка	284
одновременность	418
напряжение	264
довольство	396
самоосознание	317
влюбленный	353
печаль	274
любовь	400
отчаяться	273
рыдать	354
дрожать	405
обманчивость	379
желание	292
беспокойство	369
сомнение	322
доброта	320
быть потрясенным	285
расслабиться	315
неуважение	390
вдохновение	360
непреклонный	341
отношение	272
надоело	371
весенняя	318
смущенный	288
расстройство	370
сочувствие	282
подозревать	299
возбужденный	363
довольный	332
изможденный	347
объятие	412
разгневанный	375
самообман	361
внутреннее	417
грустный	260
презирать	368
отвращение	281
восхищение	419
неудобство	283
горюющий	393
безразличие	345
вздрагивать	355
разочарованный	404
нервный	263
рассердиться	342
беспокойный	384
весёлый	409
покаяние	324
влюбиться	301
мотивация	385
обнимать	366
суматоха	388
мотивировать	339
несчастье	331
надежда	394
облегчение	267
ленность	314
сомневаться	391
отважиться	312
страсть	410
ошарашенный	357
испытывать	325
злость	280
напуганный	278
сарказм	311
скучающий	402
ненавидеть	319
жажда	270
горе	352
терпеть	300
возбуждение	330
неверие	358
испуганный	277
обеспокоенный	414
одержимый	359
гордость	416
домогаться	403
рвеность	415
жуткий	307
жалость	343
жалость	343
горевать	389
скорбеть	287
домогаться	403
довольство	396
импульс	293
гордость	416
пренебрежение	386
озабоченный	275
разрыдаться	279
отчаянный	321
доставлять удовольствие	346
вина	408
пренебрежение	386
обеспокоенный	414
довольство	396
жуткий	307
гордость	416
горький	367
вина	408
добропорядочность	348
благоговение	387
разрыдаться	279
жалость	343
голод	334
вдохновлять	340
ревнивый	376
вскружить	290
слабость	372
слабый	271
расстройство	370
любовный	349
возбуждать	382
страх	276
жаждущий	381
забота	351
гнев	310
терпение	365
озабоченный	275
испуг	327
раздражать	377
рвеность	415
смириться	378
безумно	344
самоанализ	291
радость	337
страдать	338
доверять	286
возрадоваться	298
предпочитать	328
благополучие	399
желать	289
восхищаться	302
стыдно	407
сожалеть	313
не выносить	308
зависть	269
презрение	294
изношенный	335
страдание	398
нравственность	392
одержимый	359
самоконтроль	356
беспокойство	369
дистресс	329
так себе	406
страшный	323
неудобство	283
домогаться	403
радостный	411
напряжение	264
счастье	336
довольный	332
самопроверка	284
быть потрясенным	285
обманчивость	379
наслаждайся	362
расслабиться	315
отчаяться	273
желание	292
рыдать	354
подозревать	299
злой	304
отношение	272
преданный	265
надоело	371
весенняя	318
страсть	410
самоосознание	317
дрожать	405
вдохновение	360
непреклонный	341
восхищение	419
сочувствие	282
вздрагивать	355
агрессия	397
рассердиться	342
любовь	400
разгневанный	375
презирать	368
влюбленный	353
ошарашенный	357
позор	350
объятие	412
обнимать	366
испытывать	325
терпеть	300
облегчение	267
жажда	270
надежда	394
злость	280
мотивация	385
неверие	358
ненавидеть	319
несчастье	331
смущенный	288
горе	352
возбуждение	330
возбужденный	363
безразличие	345
сарказм	311
домогаться	403
гордость	416
довольство	396
скорбеть	287
ревнивый	376
разрыдаться	279
жаждущий	381
горевать	389
благоговение	387
одержимый	359
изношенный	335
страдать	338
забота	351
расстройство	370
страх	276
смириться	378
терпение	365
одновременность	418
весенняя	318
нервный	263
самообман	361
сомнение	322
горюющий	393
ненавидеть	319
покаяние	324
злость	280
скучающий	402
неверие	358
безразличие	345
отважиться	312
напуганный	278
вина	408
доставлять удовольствие	346
слабость	372
вдохновлять	340
озабоченный	275
возбуждать	382
безумно	344
не выносить	308
жуткий	307
расстроенный	305
импульс	293
гнев	310
доставлять удовольствие	346
безумно	344
горевать	389
расстроенный	305
ревнивый	376
нравственность	392
изношенный	335
импульс	293
слабость	372
вскружить	290
разрыдаться	279
довольство	396
вдохновлять	340
расстройство	370
возбуждать	382
благоговение	387
страдать	338
голод	334
страх	276
озабоченный	275
горький	367
испуг	327
гнев	310
не выносить	308
жуткий	307
смириться	378
терпение	365
страх	276
сожалеть	313
добропорядочность	348
горький	367
жалость	343
агрессия	397
смириться	378
благодарность	333
предпочитать	328
отчаянный	321
голод	334
пренебрежение	386
самоконтроль	356
благополучие	399
расстройство	370
страдание	398
любовный	349
разъяренный	295
желать	289
вскружить	290
радость	337
ожидать	268
самоанализ	291
самовосприятие	296
вскружить	290
презрение	294
дистресс	329
зависть	269
возрадоваться	298
восхищаться	302
расслабление	306
позор	350
напряжение	264
вдохновлять	340
изношенный	335
расстроенный	305
агрессия	397
сожалеть	313
испуг	327
радость	337
желать	289
горький	367
презрение	294
любовный	349
зависть	269
ожидать	268
рвеность	415
доверять	286
сожалеть	313
самоанализ	291
радостный	411
одержимый	359
подавленный	261
страдать	338
предпочитать	328
нравственность	392
сожаление	413
стыдно	407
страшный	323
стыдно	407
ошеломить	262
агрессия	397
благодарность	333
слабый	271
злой	304
доброта	320
самопроверка	284
доброта	320
мурашки	266
злой	304
влюбленный	353
рыдать	354
самоосознание	317
расслабиться	315
самомнение	380
обманчивость	379
подавленный	261
сожаление	413
рвеность	415
неуважение	390
неудобство	283
наслаждайся	362
любовь	400
самопроверка	284
сомнение	322
печаль	274
желание	292
счастье	336
довольный	332
дрожать	405
возбужденный	363
быть потрясенным	285
радостный	411
так себе	406
подозревать	299
страшный	323
сочувствие	282
обнимать	366
ошарашенный	357
отношение	272
рассердиться	342
отчаяться	273
нравственность	392
смущенный	288
вздрагивать	355
стыдно	407
отвращение	281
изможденный	347
разочарованный	404
беспокойство	369
нервный	263
горе	352
мотивировать	339
сомневаться	391
жажда	270
весёлый	409
надежда	394
страсть	410
восхищение	419
влюбиться	301
внутреннее	417
облегчение	267
злость	280
покраснеть	373
возбуждение	330
надоело	371
беспокойный	384
суматоха	388
разгневанный	375
презирать	368
сарказм	311
испытывать	325
терпеть	300
мотивация	385
ленность	314
терпение	365
раздражать	377
сожаление	413
быть потрясенным	285
беспокойство	369
одновременность	418
раздражать	377
позор	350
напряжение	264
влюбленный	353
самоконтроль	356
самоосознание	317
самомнение	380
быть потрясенным	285
любовь	400
рыдать	354
преданный	265
подозревать	299
печаль	274
возрадоваться	298
наслаждайся	362
счастье	336
страсть	410
рассердиться	342
отчаяться	273
обнимать	366
желание	292
восхищение	419
сочувствие	282
объятие	412
вдохновение	360
сомнение	322
ошарашенный	357
смущенный	288
разочарованный	404
довольный	332
нервный	263
беспокойный	384
сомневаться	391
внутреннее	417
покраснеть	373
горюющий	393
отвращение	281
восхищаться	302
дрожать	405
терпеть	300
испытывать	325
злость	280
вздрагивать	355
горе	352
надежда	394
отважиться	312
неверие	358
безразличие	345
испуганный	277
суматоха	388
презирать	368
мотивация	385
весёлый	409
мотивировать	339
влюбиться	301
возбуждение	330
несчастье	331
ленность	314
скучающий	402
напуганный	278
голод	334
обеспокоенный	414
горевать	389
благодарность	333
напряжение	264
благоговение	387
дистресс	329
страдание	398
влюбленный	353
доброта	320
самопроверка	284
обманчивость	379
самомнение	380
отчаяться	273
довольный	332
возрадоваться	298
подавленный	261
самоосознание	317
подозревать	299
злой	304
ошарашенный	357
покраснеть	373
обнимать	366
страсть	410
вдохновение	360
сомнение	322
внутреннее	417
презирать	368
желание	292
изможденный	347
горюющий	393
отвращение	281
весёлый	409
возбуждение	330
преданный	265
сомневаться	391
ненавидеть	319
рыдать	354
суматоха	388
скучающий	402
испуганный	277
ленность	314
раздражать	377
предпочитать	328
самомнение	380
агрессия	397
ненавидеть	319
ленность	314
влюбиться	301
скучающий	402
напуганный	278
любовь	400
расстроенный	305
испуганный	277
радостный	411
самоанализ	291
разъяренный	295
счастье	336
беспокойный	384
дрожать	405
любопытный	139
быть потрясенным	285
разочарованный	404
голод	334
ошеломить	262
мотивировать	339
самообман	361
надежда	394
мурашки	266
горюющий	393
одинокий	395
любить	364
скорбеть	287
вина	408
изможденный	347
горе	352
весенняя	318
довольный	332
интересный	316
несчастье	331
суматоха	388
слабость	372
объятие	412
стыдно	407
презрение	294
сарказм	311
обманчивость	379
самомнение	380
сомневаться	391
терпение	365
довольство	396
презирать	368
восхищение	419
забота	351
ревнивый	376
надеяться	383
расстройство	370
отношение	272
радость	337
доставлять удовольствие	346
сожалеть	313
расслабиться	315
разрыдаться	279
горький	367
жадность	193
покаяние	324
страшный	323
самовосприятие	296
застенчивый	125
не выносить	308
сочувствие	282
безразличие	345
добропорядочность	348
отвращение	281
разгневанный	375
самопроверка	284
мотивация	385
подавленный	261
подавленный	261
радость	337
вина	408
довольный	332
разочарованный	404
разъяренный	295
любовь	400
расстроенный	305
самообман	361
сожалеть	313
надежда	394
испуганный	277
наслаждайся	362
ошеломить	262
не выносить	308
мурашки	266
весенняя	318
слабость	372
самоанализ	291
возбуждение	330
скорбеть	287
суматоха	388
объятие	412
быть потрясенным	285
стыдно	407
рвеность	415
напуганный	278
смущенный	288
беспокойный	384
испытывать	325
презирать	368
восхищение	419
дистресс	329
сарказм	311
забота	351
радостный	411
презрение	294
горе	352
добропорядочность	348
горюющий	393
изможденный	347
несчастье	331
ревнивый	376
довольство	396
отвращение	281
разгневанный	375
обманчивость	379
доставлять удовольствие	346
счастье	336
страх	276
вскружить	290
расстройство	370
дрожать	405
сомневаться	391
покаяние	324
самомнение	380
разрыдаться	279
смущенный	288
безразличие	345
желание	292
сочувствие	282
голод	334
горький	367
страшный	323
ленность	314
зависть	269
мотивация	385
вскружить	290
самопроверка	284
самоконтроль	356
самовосприятие	296
рвеность	415
покраснеть	373
спокойный	309
смириться	378
вдохновение	360
испуг	327
желание	292
дистресс	329
жажда	270
неверие	358
страдание	398
весёлый	409
доброта	320
самоконтроль	356
отчаянный	321
наслаждайся	362
непреклонный	341
беспокоиться	297
зависть	269
безумно	344
импульс	293
разочарованный	404
несчастье	331
надоело	371
вдохновлять	340
напуганный	278
внутреннее	417
голодный	374
подавленный	261
рассердиться	342
домогаться	403
счастье	336
возбуждать	382
голод	334
страх	276
отчаяться	273
злой	304
одновременность	418
благополучие	399
счастливый	326
неуважение	390
жалость	343
радостный	411
ленность	314
сомнение	322
радость	337
желать	289
активный	231
гордость	416
любовь	400
любовный	349
влюбленный	353
расстроенный	305
позор	350
суматоха	388
рыдать	354
самоосознание	317
ожидать	268
беспокойство	369
печаль	274
нервный	263
сожалеть	313
боль	401
предпочитать	328
изношенный	335
агрессия	397
жуткий	307
скучающий	402
обнимать	366
возбужденный	363
ненавидеть	319
жаждущий	381
подозревать	299
обманчивость	379
гнев	310
весенняя	318
грустный	260
так себе	406
ошарашенный	357
неудобство	283
терпеть	300
благодарность	333
расслабление	306
одержимый	359
влюбиться	301
вина	408
раздражать	377
горюющий	393
страдать	338
вздрагивать	355
стыдно	407
сожаление	413
горевать	389
доверять	286
объятие	412
озабоченный	275
отношение	272
обеспокоенный	414
нравиться	303
презрение	294
пренебрежение	386
дистресс	329
нравственность	392
благоговение	387
отважиться	312
преданный	265
напряжение	264
возрадоваться	298
страсть	410
злость	280
слабый	271
восхищаться	302
облегчение	267
терпение	365
возбуждение	330
смириться	378
мотивировать	339
жажда	270
рассердиться	342
безумно	344
неверие	358
расслабиться	315
вдохновение	360
покраснеть	373
испытывать	325
отчаянный	321
отношение	272
доверять	286
импульс	293
надоело	371
весёлый	409
домогаться	403
возбуждать	382
одновременность	418
жалость	343
вдохновлять	340
влюбленный	353
страдание	398
влюбиться	301
рыдать	354
позор	350
неуважение	390
доброта	320
сомнение	322
гордость	416
испуг	327
самоосознание	317
внутреннее	417
злой	304
жуткий	307
возбужденный	363
изношенный	335
пренебрежение	386
так себе	406
неудобство	283
расстроенный	305
испуганный	277
ошеломить	262
разъяренный	295
вина	408
счастье	336
разочарованный	404
быть потрясенным	285
беспокойный	384
подавленный	261
мурашки	266
мотивировать	339
голод	334
любовь	400
не выносить	308
суматоха	388
обманчивость	379
сожалеть	313
довольный	332
самоанализ	291
радостный	411
терпение	365
дрожать	405
горюющий	393
напуганный	278
презрение	294
надежда	394
расстроенный	305
разочарованный	404
быть потрясенным	285
сожалеть	313
напуганный	278
презирать	368
испуганный	277
объятие	412
стыдно	407
радость	337
самоанализ	291
беспокойный	384
сарказм	311
довольный	332
подавленный	261
не выносить	308
сочувствие	282
ошеломить	262
добропорядочность	348
горький	367
дрожать	405
восхищение	419
наслаждайся	362
одинокий	395
радостный	411
весенняя	318
любовь	400
довольство	396
жадность	193
скорбеть	287
самообман	361
горе	352
расстройство	370
горюющий	393
мотивировать	339
любить	364
счастье	336
покраснеть	373
радость	337
стыдно	407
суматоха	388
забота	351
обманчивость	379
самовосприятие	296
ленность	314
терпение	365
покаяние	324
весенняя	318
страх	276
дистресс	329
сочувствие	282
зависть	269
надежда	394
изможденный	347
объятие	412
желание	292
отвращение	281
изможденный	347
безразличие	345
мурашки	266
разгневанный	375
рвеность	415
вина	408
расслабиться	315
забота	351
отчаянный	321
разъяренный	295
самопроверка	284
отношение	272
интересный	316
самообман	361
презрение	294
разрыдаться	279
скорбеть	287
возбуждение	330
смириться	378
отношение	272
довольство	396
рассердиться	342
слабость	372
вскружить	290
восхищение	419
домогаться	403
вдохновение	360
добропорядочность	348
наслаждайся	362
жажда	270
горе	352
доставлять удовольствие	346
расстройство	370
испуг	327
расслабиться	315
неверие	358
презирать	368
доверять	286
доставлять удовольствие	346
несчастье	331
сомневаться	391
надеяться	383
страдание	398
разрыдаться	279
зависть	269
покраснеть	373
возбуждение	330
безразличие	345
страшный	323
рвеность	415
покаяние	324
самомнение	380
домогаться	403
отчаянный	321
отвращение	281
гордость	416
сарказм	311
безумно	344
ленность	314
ревнивый	376
застенчивый	125
горький	367
самоконтроль	356
одержимый	359
безумно	344
самомнение	380
вскружить	290
непреклонный	341
гордость	416
неверие	358
вдохновлять	340
ревнивый	376
рассердиться	342
самоконтроль	356
испытывать	325
мотивация	385
доверять	286
весёлый	409
жажда	270
самоосознание	317
желание	292
самовосприятие	296
благополучие	399
неуважение	390
самопроверка	284
доброта	320
весёлый	409
позор	350
несчастье	331
разгневанный	375
внутреннее	417
доброта	320
любовный	349
благополучие	399
нервный	263
благоговение	387
скучающий	402
жалость	343
вдохновение	360
смущенный	288
возбуждать	382
одержимый	359
страдание	398
ошеломить	262
ожидать	268
гнев	310
страх	276
агрессия	397
голод	334
расслабление	306
неуважение	390
нравственность	392
самоанализ	291
предпочитать	328
надежда	394
горевать	389
благополучие	399
вдохновлять	340
раздражать	377
импульс	293
напуганный	278
непреклонный	341
самоосознание	317
смириться	378
несчастье	331
надоело	371
голодный	374
одержимый	359
самообман	361
спокойный	309
любовный	349
беспокоиться	297
грустный	260
любовь	400
злой	304
голод	334
счастливый	326
одновременность	418
не выносить	308
испуг	327
беспокойный	384
позор	350
жуткий	307
счастье	336
боль	401
презирать	368
печаль	274
мурашки	266
обнимать	366
сожалеть	313
влюбиться	301
быть потрясенным	285
весенняя	318
объятие	412
слабость	372
восхищение	419
расстроенный	305
разочарованный	404
суматоха	388
изможденный	347
разъяренный	295
терпение	365
стыдно	407
наслаждайся	362
подавленный	261
радость	337
влюбленный	353
жаждущий	381
желать	289
дистресс	329
неудобство	283
забота	351
возбужденный	363
активный	231
сомнение	322
изношенный	335
испытывать	325
дрожать	405
ненавидеть	319
сомневаться	391
пренебрежение	386
так себе	406
гнев	310
беспокойство	369
отважиться	312
мотивировать	339
преданный	265
страдать	338
добропорядочность	348
ошарашенный	357
сомневаться	391
обманчивость	379
скучающий	402
агрессия	397
довольный	332
подозревать	299
нравиться	303
сочувствие	282
расслабление	306
сарказм	311
отчаяться	273
отношение	272
радостный	411
презрение	294
нравственность	392
расстройство	370
предпочитать	328
рыдать	354
испуганный	277
внутреннее	417
рыдать	354
влюбиться	301
горевать	389
отвращение	281
напряжение	264
отчаяться	273
довольство	396
слабый	271
вздрагивать	355
ожидать	268
страшный	323
восхищаться	302
нервный	263
страсть	410
горюющий	393
благодарность	333
озабоченный	275
подозревать	299
ревнивый	376
благоговение	387
пренебрежение	386
раздражать	377
страшный	323
горький	367
терпеть	300
сожаление	413
разрыдаться	279
возрадоваться	298
обеспокоенный	414
желание	292
злость	280
возбуждение	330
горе	352
вина	408
вскружить	290
жуткий	307
ожидать	268
скорбеть	287
доставлять удовольствие	346
зависть	269
желать	289
страх	276
сомнение	322
мотивация	385
облегчение	267
жалость	343
рвеность	415
предпочитать	328
нравственность	392
мотивация	385
гордость	416
любовный	349
беспокойство	369
испытывать	325
агрессия	397
возбуждать	382
домогаться	403
покраснеть	373
смириться	378
скучающий	402
неудобство	283
изношенный	335
возбужденный	363
страдать	338
преданный	265
самовосприятие	296
так себе	406
терпеть	300
ошарашенный	357
самопроверка	284
возрадоваться	298
благоговение	387
самомнение	380
благодарность	333
печаль	274
неверие	358
надоело	371
смущенный	288
страдание	398
обеспокоенный	414
гнев	310
злость	280
надоело	371
сожаление	413
рассердиться	342
раздражать	377
доверять	286
злой	304
смущенный	288
безумно	344
безразличие	345
самоконтроль	356
внутреннее	417
одержимый	359
доброта	320
разгневанный	375
возбужденный	363
влюбиться	301
благополучие	399
неуважение	390
весёлый	409
вдохновлять	340
самоосознание	317
испуг	327
напряжение	264
влюбленный	353
жаждущий	381
облегчение	267
озабоченный	275
одновременность	418
одновременность	418
расслабление	306
горевать	389
отважиться	312
жалость	343
страсть	410
обнимать	366
ненавидеть	319
слабый	271
беспокойство	369
восхищаться	302
любовный	349
вздрагивать	355
ленность	314
позор	350
отчаянный	321
рыдать	354
обнимать	366
нервный	263
отчаяться	273
ненавидеть	319
покаяние	324
жуткий	307
возбуждать	382
отважиться	312
печаль	274
преданный	265
желать	289
страсть	410
терпеть	300
беспокойство	369
обеспокоенный	414
ошарашенный	357
злость	280
подозревать	299
благодарность	333
восхищаться	302
ненавидеть	319
нравиться	303
непреклонный	341
жаждущий	381
облегчение	267
отчаяться	273
обнимать	366
страдать	338
вздрагивать	355
напряжение	264
возрадоваться	298
слабый	271
озабоченный	275
сожаление	413
предпочитать	328
ожидать	268
так себе	406
желать	289
вдохновение	360
агрессия	397
неудобство	283
нравственность	392
преданный	265
горевать	389
отважиться	312
подозревать	299
импульс	293
ошарашенный	357
печаль	274
благоговение	387
сожаление	413
слабый	271
благодарность	333
страсть	410
злой	304
обеспокоенный	414
злость	280
сомнение	322
возрадоваться	298
раздражать	377
восхищаться	302
гнев	310
напряжение	264
страдать	338
озабоченный	275
облегчение	267
вздрагивать	355
наслаждайся	362
горький	367
изможденный	347
сомневаться	391
терпение	365
испуганный	277
сарказм	311
забота	351
презирать	368
страх	276
довольство	396
ошеломить	262
ревнивый	376
отвращение	281
страшный	323
покраснеть	373
слабость	372
ленность	314
самомнение	380
смущенный	288
зависть	269
желание	292
смириться	378
гордость	416
возбуждение	330
расстройство	370
домогаться	403
отчаянный	321
мотивация	385
неверие	358
доверять	286
самоконтроль	356
доставлять удовольствие	346
разрыдаться	279
испуг	327
быть потрясенным	285
страдание	398
возбуждать	382
внутреннее	417
весёлый	409
благополучие	399
вскружить	290
одержимый	359
доброта	320
жалость	343
влюбиться	301
рвеность	415
отчаяться	273
желать	289
надежда	394
одновременность	418
влюбленный	353
печаль	274
беспокойство	369
самопроверка	284
покаяние	324
пренебрежение	386
обнимать	366
изношенный	335
нервный	263
рыдать	354
сомнение	322
вдохновлять	340
агрессия	397
подозревать	299
злой	304
преданный	265
импульс	293
любовный	349
благоговение	387
ненавидеть	319
скучающий	402
страсть	410
предпочитать	328
жуткий	307
горевать	389
раздражать	377
терпеть	300
ожидать	268
вдохновение	360
ошарашенный	357
сожаление	413
благодарность	333
самоосознание	317
нравственность	392
страдать	338
напряжение	264
возрадоваться	298
обеспокоенный	414
злость	280
озабоченный	275
восхищаться	302
подавленный	261
вина	408
довольный	332
самообман	361
разъяренный	295
голод	334
расстроенный	305
весенняя	318
изможденный	347
ревнивый	376
самомнение	380
сомневаться	391
дистресс	329
горюющий	393
покаяние	324
рвеность	415
гордость	416
домогаться	403
возбуждать	382
влюбиться	301
влюбленный	353
доверять	286
любовный	349
внутреннее	417
доброта	320
жуткий	307
изношенный	335
сожаление	413
весенняя	318
одновременность	418
нервный	263
благодарность	333
обеспокоенный	414
доставлять удовольствие	346
одновременность	418
восхищаться	302
благоговение	387
внутреннее	417
надеяться	383
неуважение	390
не выносить	308
неуважение	390
мотивация	385
смущенный	288
отвращение	281
отчаянный	321
вздрагивать	355
гнев	310
испуг	327
сарказм	311
скучающий	402
слабость	372
расстроенный	305
несчастье	331
подавленный	261
преданный	265
самообман	361
благополучие	399
изможденный	347
радость	337
